"","fromvector","tovector","ld50Values","distance","pw50_values","ratio"
"112","H","G",31.6700002889384,54,31.79,0.588703703703704
"113","H","I",18.8399153274439,50,18.76,0.3752
"114","H","J",1,26,1,0.0384615384615385
"115","H","K",19.5299769685644,48,19.49,0.406041666666667
"116","H","L",7.39993871411947,39,7.35,0.188461538461538
"117","H","M",26.4499998651149,48,26.41,0.550208333333333
"118","H","N",29.9799999796754,56,29.99,0.535535714285714
"119","H","T",15.4098603840408,37,15.3,0.413513513513514
"120","H","U",24.2499971052968,48,24.16,0.503333333333333
"121","I","A",14.699963565222,42,14.65,0.348809523809524
"122","I","B",10.55774933703,43,10.36,0.24093023255814
"123","I","C",2.99072168731783,30,2.74,0.0913333333333333
"124","I","D",16.4799867016296,43,16.37,0.380697674418605
"125","I","E",19.3593461261952,52,19.32,0.371538461538462
"126","I","F",21.7098096498256,51,21.59,0.423333333333333
"127","I","G",36.3900011105021,60,36.4,0.606666666666667
"128","I","H",13.6189373382035,50,13.17,0.2634
"129","I","J",26.4199957409916,48,26.44,0.550833333333333
"130","I","K",15.54995551271,44,15.42,0.350454545454545
"131","I","L",22.299850903896,50,22.54,0.4508
"132","I","M",22.6999950406837,48,22.58,0.470416666666667
"133","I","N",32.2600000106737,56,32.24,0.575714285714286
"134","I","T",30.7700000008953,50,30.81,0.6162
"135","I","U",15.784811558053,52,15.17,0.291730769230769
"136","J","A",24.0699999814898,45,24,0.533333333333333
"137","J","B",25.4199997080339,50,25.25,0.505
"138","J","C",17.1799737058249,41,17.05,0.415853658536585
"139","J","D",21.3199957205257,48,21.3,0.44375
"140","J","E",21.2699776647,46,21.24,0.461739130434783
"141","J","F",16.129923552205,39,16.01,0.410512820512821
"142","J","G",30.3599989192601,52,30.42,0.585
"143","J","H",1,26,1,0.0384615384615385
"144","J","I",22.41999999486,48,22.3,0.464583333333333
"145","J","K",9.09964984162931,41,8.89,0.216829268292683
"146","J","L",21.6799722636008,43,21.76,0.506046511627907
"147","J","M",19.8299859509745,43,19.66,0.457209302325581
"148","J","N",29.8799999726497,53,29.87,0.563584905660377
"149","J","T",25.3499989809483,44,25.49,0.579318181818182
"150","J","U",22.8599964483044,43,22.89,0.532325581395349
"151","K","A",16.8599997126232,41,16.9,0.412195121951219
"152","K","B",15.6899920449585,42,15.61,0.371666666666667
"153","K","C",9.93892599062075,38,9.66,0.254210526315789
"154","K","D",22.1199994099042,48,22.15,0.461458333333333
"155","K","E",16.2997449862651,44,16.09,0.365681818181818
"156","K","F",20.3899974575806,45,20.36,0.452444444444444
"157","K","G",34.9100010988299,53,34.98,0.66
"158","K","H",23.7299997351837,48,23.59,0.491458333333333
"159","K","I",18.7799988684354,44,18.75,0.426136363636364
"160","K","J",10.0798364788437,41,9.89,0.241219512195122
"161","K","L",34.6600010075917,56,34.91,0.623392857142857
"162","K","M",12.6284315591229,43,12.48,0.290232558139535
"163","K","N",19.169997035294,42,19.1,0.454761904761905
"164","K","T",26.1499999975801,42,26.1,0.621428571428571
"165","K","U",13.9295258639004,39,13.81,0.354102564102564
"166","L","A",24.6399994028013,50,24.6,0.492
"167","L","B",26.2199997643954,54,26.17,0.48462962962963
"168","L","C",25.3499999871908,49,25.38,0.517959183673469
"169","L","D",25.739999904547,51,25.81,0.506078431372549
"170","L","E",32.8799982368019,62,32.78,0.528709677419355
"171","L","F",25.2699999636409,48,25.29,0.526875
"172","L","G",28.3398947824425,56,28.21,0.50375
"173","L","H",2.68594682217953,39,2.3,0.058974358974359
"174","L","I",21.3799949483543,50,21.42,0.4284
"175","L","J",16.8499990635521,43,16.98,0.394883720930233
"176","L","K",27.2999987725859,56,27.27,0.486964285714286
"177","L","M",33.9500010895818,59,33.93,0.575084745762712
"178","L","N",34.5700000103511,63,34.53,0.548095238095238
"179","L","T",22.2299757004032,49,22.37,0.456530612244898
"180","L","U",28.3399940500017,55,28.51,0.518363636363636
"181","M","A",20.7699999652489,41,20.74,0.505853658536585
"182","M","B",29.2899999988302,52,29.37,0.564807692307692
"183","M","C",25.8100000037027,42,25.7,0.611904761904762
"184","M","D",22.8799999660409,49,22.83,0.465918367346939
"185","M","E",19.6799945859755,44,19.65,0.446590909090909
"186","M","F",21.9399998051444,43,21.87,0.508604651162791
"187","M","G",29.6700000122711,47,30.1,0.640425531914894
"188","M","H",26.8399999822457,48,26.92,0.560833333333333
"189","M","I",23.5499999821694,48,23.41,0.487708333333333
"190","M","J",20.5099995722868,43,20.48,0.476279069767442
"191","M","K",20.7399999654507,43,20.7,0.481395348837209
"192","M","L",37.3700028138108,59,37.68,0.63864406779661
"193","M","N",15.5299181707286,47,15.29,0.32531914893617
"194","M","T",19.6299989078734,40,19.75,0.49375
"195","M","U",18.5399553888952,42,18.48,0.44
"196","N","A",31.5000000001721,50,31.48,0.6296
"197","N","B",17.3699937517596,45,17.33,0.385111111111111
"198","N","C",27.5300000927929,46,27.54,0.598695652173913
"199","N","D",31.1200000093036,53,31.05,0.585849056603774
"200","N","E",22.039970493683,50,22.07,0.4414
"201","N","F",25.3199987961637,50,25.24,0.5048
"202","N","G",20.6198483551966,47,20.56,0.437446808510638
"203","N","H",34.2100000010377,56,34.05,0.608035714285714
"204","N","I",30.8600000010459,56,30.92,0.552142857142857
"205","N","J",28.1899987302196,53,28.17,0.531509433962264
"206","N","K",22.8999999819736,42,22.86,0.544285714285714
"207","N","L",35.6900204186215,63,36.18,0.574285714285714
"208","N","M",3.04235774845174,47,2.62,0.0557446808510638
"209","N","T",15.0556261081772,51,14.95,0.293137254901961
"210","N","U",30.3600000663253,51,30.48,0.597647058823529
"211","T","A",26.0099999994644,46,26.04,0.566086956521739
"212","T","B",32.7900000006263,55,32.83,0.596909090909091
"213","T","C",26.1399988424395,46,26.12,0.567826086956522
"214","T","D",19.0399985861744,43,19.07,0.443488372093023
"215","T","E",22.759984986753,46,22.55,0.490217391304348
"216","T","F",17.1499992488207,35,17.02,0.486285714285714
"217","T","G",26.17999996842,47,26.54,0.56468085106383
"218","T","H",15.9799645772705,37,15.91,0.43
"219","T","I",28.6100000211421,50,28.65,0.573
"220","T","J",24.0099999781399,44,23.87,0.5425
"221","T","K",25.9600000000389,42,26.02,0.619523809523809
"222","T","L",26.579995178101,49,26.81,0.547142857142857
"223","T","M",22.4299994463016,40,22.36,0.559
"224","T","N",20.8399644103824,51,20.77,0.407254901960784
"225","T","U",31.24000001286,48,31.19,0.649791666666667
"226","U","A",14.0197882892989,37,13.83,0.373783783783784
"227","U","B",23.7499938499082,50,23.64,0.4728
"228","U","C",18.6999315309719,42,18.62,0.443333333333333
