"","fromvector","tovector","fromnumvector","tonumvector","ld50Values","distance","ratio","inverse"
"32","C","B",3,2,7.44960472591561,33,0.225745597755018,4.42976523105983
"33","C","D",3,4,31.6500000018888,52,0.608653846190169,1.64296998410416
"34","C","E",3,5,21.8299478677634,49,0.445509140158437,2.24462285924004
"35","C","F",3,6,21.4399978190802,43,0.498604600443726,2.00559721893874
"36","C","G",3,7,36.880000018329,56,0.658571428898732,1.51843817711954
"37","C","H",3,8,21.0599981701095,44,0.478636322047943,2.08926893747072
"38","C","I",3,9,7.39993857074477,30,0.246664619024826,4.05408770805251
"39","C","J",3,10,17.4199992379074,41,0.424878030192863,2.35361663568736
"40","C","K",3,11,11.089323132285,38,0.291824292954868,3.42671951630378
"41","C","L",3,12,28.7000015214789,49,0.585714316764876,1.70731698266039
"42","C","M",3,13,23.7399990247467,42,0.565238072017779,1.76916603729507
"43","C","N",3,14,28.5400000151352,46,0.620434782937722,1.61177294939052
"44","C","T",3,15,28.1800000025291,46,0.612608695707154,1.63236337813597
"45","C","U",3,16,18.2698251768653,42,0.434995837544412,2.29887257231031
"46","D","A",4,1,17.2199995573645,45,0.382666656830322,2.61324048529112
"47","D","B",4,2,17.5599956260762,46,0.381739035349483,2.61959062972038
"48","D","C",4,3,29.2999999955749,52,0.56346153837644,1.77474402757179
"49","D","E",4,5,20.0989664711949,56,0.358910115557052,2.78621291698044
"50","D","F",4,6,18.6595075322843,47,0.39701079855924,2.51882317465676
"51","D","G",4,7,28.289999993387,47,0.601914893476319,1.66136444011971
"52","D","H",4,8,24.0999999847513,48,0.502083333015652,1.99170124607348
"53","D","I",4,9,14.7399996868302,43,0.3427906903914,2.91723208368989
"54","D","J",4,10,20.2699987215727,48,0.422291640032765,2.36803172310589
"55","D","K",4,11,21.6699998791534,48,0.451458330815696,2.21504385176191
"56","D","L",4,12,24.9399477592753,51,0.489018583515202,2.04491206205646
"57","D","M",4,13,22.3999879047286,49,0.457142610300584,2.18750118117949
"58","D","N",4,14,28.5599999565179,53,0.538867923707885,1.8557422997441
"59","D","T",4,15,19.4299934103802,43,0.451860311869307,2.21307331874996
"60","D","U",4,16,26.1199855237184,51,0.512156578896439,1.95252788152157
"61","E","A",5,1,28.6799999861094,52,0.551538461271335,1.81311018218916
"62","E","B",5,2,28.9899999831675,55,0.527090908784864,1.89720593418195
"63","E","C",5,3,14.8482591997109,49,0.303025697953284,3.30005015005086
"64","E","D",5,4,21.1497887245602,56,0.377674798652861,2.64778058680889
"65","E","F",5,6,19.3291388504251,52,0.371714208662021,2.69023883590429
"66","E","G",5,7,32.3299984722738,58,0.557413766763341,1.79399946615342
"67","E","H",5,8,24.1799988603961,50,0.483599977207922,2.06782474592643
"68","E","I",5,9,26.8500000028058,52,0.516346153900112,1.93668528843821
"69","E","J",5,10,19.3399966507038,46,0.420434709797909,2.37849058770783
"70","E","K",5,11,15.6199014676454,44,0.354997760628305,2.81691917782838
"71","E","L",5,12,45.3300000043066,62,0.731129032327526,1.36774762837215
"72","E","M",5,13,16.799898499112,44,0.381815874979818,2.61906344269436
"73","E","N",5,14,23.5099993237908,50,0.470199986475816,2.12675463369337
"74","E","T",5,15,22.5999833178134,46,0.491303985169857,2.0353997325185
"75","E","U",5,16,25.7899997867494,48,0.537291662223946,1.86118652178748
"76","F","A",6,1,20.939987280326,45,0.465333050673911,2.14899844004583
"77","F","B",6,2,21.9099996501208,47,0.466170205321719,2.14513924009765
"78","F","C",6,3,17.9099198885665,43,0.416509764850384,2.40090409491171
"79","F","D",6,4,19.1699362542264,47,0.407870984132477,2.45175567496412
"80","F","E",6,5,19.8988763007991,52,0.38267069809229,2.61321288770019
"81","F","G",6,7,24.3899998589052,47,0.518936167210749,1.9270192813404
"82","F","H",6,8,13.339915563262,35,0.381140444664629,2.62370476289892
"83","F","I",6,9,25.9899999983195,51,0.509607843104304,1.96229318981522
